"title","url","matchedKeywords","targetFolderKey","targetFolder","page","pageUrl","matchedAt"
"(GET) Devin Jatho - Media Launchpad Course","https://bestblackhatforum.com/Thread-GET-Devin-Jatho-Media-Launchpad-Course&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"(GET) Devin Jatho - Media Launchpad Course","https://bestblackhatforum.com/Thread-GET-Devin-Jatho-Media-Launchpad-Course?pid=5303314&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"? [INSTANT GB] ClawBrand AI â€“ FULL Funnel (FE + AL...","https://bestblackhatforum.com/Thread-INSTANT-GB-ClawBrand-AI-%E2%80%93-FULL-Funnel-FE-ALL-OTOs-BONUS-AGENCY-SAAS-STACK-%E2%80%93-ONLY-97?pid=5377386&highlight=bonus+stack","bonus stack","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=11739563a76ddde814bb273e2d296d91&sortby=&order=desc","2026-05-11T08:51:48.626Z"
"? [INSTANT GB] ClawBrand AI â€“ FULL Funnel (FE + ALL OTOs) + BONUS AGENCY SAAS STACK â€“ ONLY $97","https://bestblackhatforum.com/Thread-INSTANT-GB-ClawBrand-AI-%E2%80%93-FULL-Funnel-FE-ALL-OTOs-BONUS-AGENCY-SAAS-STACK-%E2%80%93-ONLY-97&highlight=bonus+stack","bonus stack","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=e8d7c59ee9c4b93672f81ecb7d59780f&sortby=lastpost&order=desc","2026-05-11T10:15:46.918Z"
"[ GET ] [ $200 ] The Ultimate Entrepreneur 200,000+ Prompts - Complete Bundle","https://bestblackhatforum.com/Thread-GET-200-The-Ultimate-Entrepreneur-200-000-Prompts-Complete-Bundle&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"[ GET ] Andy Skraga - The Facebook Monetization Ma...","https://bestblackhatforum.com/Thread-GET-Andy-Skraga-The-Facebook-Monetization-Masterclass-Content-Into-Cash?pid=5190034&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"[ GET ] Andy Skraga - The Facebook Monetization Masterclass - Content Into Cash","https://bestblackhatforum.com/Thread-GET-Andy-Skraga-The-Facebook-Monetization-Masterclass-Content-Into-Cash&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"[ GET ] ChatGPT Traffic Stack FE - From 3 Clicks t...","https://bestblackhatforum.com/Thread-GET-ChatGPT-Traffic-Stack-FE-From-3-Clicks-to-300-Without-Ads-SEO-or-Posting-Daily?pid=4977115&highlight=bonus+stack","bonus stack","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=11739563a76ddde814bb273e2d296d91&sortby=&order=desc","2026-05-11T08:51:48.626Z"
"[ GET ] ChatGPT Traffic Stack FE - From 3 Clicks to 300 - Without Ads, SEO or Posting Daily!","https://bestblackhatforum.com/Thread-GET-ChatGPT-Traffic-Stack-FE-From-3-Clicks-to-300-Without-Ads-SEO-or-Posting-Daily&highlight=bonus+stack","bonus stack","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=e8d7c59ee9c4b93672f81ecb7d59780f&sortby=lastpost&order=desc","2026-05-11T10:15:46.918Z"
"[ GET ] Lucky Smith - AI One Character System - Ki...","https://bestblackhatforum.com/Thread-GET-Lucky-Smith-AI-One-Character-System-Kids-Edition-FE-OTOs?pid=5362045&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"[ GET ] Lucky Smith - AI One Character System - Kids Edition FE + OTOs","https://bestblackhatforum.com/Thread-GET-Lucky-Smith-AI-One-Character-System-Kids-Edition-FE-OTOs&highlight=bonus+creation","bonus creation","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=c08e8cb9eca7c655fea2cb58f369a93e&sortby=&order=desc","2026-05-11T10:12:24.946Z"
"[ GET ] Paul James - 1650 in 7 Days FE - Would An ...","https://bestblackhatforum.com/Thread-GET-Paul-James-1650-in-7-Days-FE-Would-An-Extra-1-650-By-This-Weekend-Help-You-Out?pid=4990188&highlight=bonus+stack","bonus stack","01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\04_Bonus_Creation\bonus_stack","1","https://bestblackhatforum.com/search.php?action=results&sid=11739563a76ddde814bb273e2d296d91&sortby=&order=desc","2026-05-11T08:51:48.626Z"
