"title","url","matchedKeywords","targetFolderKey","targetFolder","page","pageUrl","matchedAt"
"""Read This Or Die: The Lost Files of Jim Rutz""","https://bestblackhatforum.com/Thread-Read-This-Or-Die-The-Lost-Files-of-Jim-Rutz&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","2","https://bestblackhatforum.com/search.php?action=results&sid=dc1c3ebd7784e2795ea23174ebf58156&sortby=dateline&order=desc&uid=&page=2","2026-05-11T08:29:49.784Z"
"(REQ) Author Blackbox","https://bestblackhatforum.com/Thread-REQ-Author-Blackbox&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"(REQ) Author Blackbox","https://bestblackhatforum.com/Thread-REQ-Author-Blackbox?pid=4894855&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[ GET ] Lipika Sahu - The No-Nonsense Guide To Wri...","https://bestblackhatforum.com/Thread-GET-Lipika-Sahu-The-No-Nonsense-Guide-To-Write-Irresistible-Headlines?pid=4968506&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[ GET ] Lipika Sahu - The No-Nonsense Guide To Write Irresistible Headlines","https://bestblackhatforum.com/Thread-GET-Lipika-Sahu-The-No-Nonsense-Guide-To-Write-Irresistible-Headlines&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[ GET ] Matt Giaro - The 100k Online Writing Syste...","https://bestblackhatforum.com/Thread-GET-Matt-Giaro-The-100k-Online-Writing-System-How-Online-Writers-Can-Make-100-000-A-year?pid=4443011&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[ GET ] Matt Giaro - The 100k Online Writing System - How Online Writers Can Make $100,000 A year!","https://bestblackhatforum.com/Thread-GET-Matt-Giaro-The-100k-Online-Writing-System-How-Online-Writers-Can-Make-100-000-A-year&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[ GET ] Matt Giaro â€“ The Medium Growth Formula - H...","https://bestblackhatforum.com/Thread-GET-Matt-Giaro-%E2%80%93-The-Medium-Growth-Formula-HOW-TO-MAKE-MORE-MONEY-AS-A-WRITER?pid=4159867&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","2","https://bestblackhatforum.com/search.php?action=results&sid=dc1c3ebd7784e2795ea23174ebf58156&sortby=dateline&order=desc&uid=&page=2","2026-05-11T08:29:49.784Z"
"[ GET ] Matt Giaro â€“ The Medium Growth Formula - HOW TO MAKE MORE MONEY AS A WRITER","https://bestblackhatforum.com/Thread-GET-Matt-Giaro-%E2%80%93-The-Medium-Growth-Formula-HOW-TO-MAKE-MORE-MONEY-AS-A-WRITER&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","1","https://bestblackhatforum.com/search.php?action=results&sid=e0cc51e6e6cc63721a3f3954dc7e7733&sortby=&order=desc","2026-05-11T08:25:22.691Z"
"[F4LT] Creating Blogs That Your Audience Loves To ...","https://bestblackhatforum.com/Thread-F4LT-Creating-Blogs-That-Your-Audience-Loves-To-Read?pid=3660102&highlight=headline+writing","headline writing","03_SALE_PAGE\02_Headline_Hook\headline_writing","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\02_Headline_Hook\headline_writing","2","https://bestblackhatforum.com/search.php?action=results&sid=dc1c3ebd7784e2795ea23174ebf58156&sortby=dateline&order=desc&uid=&page=2","2026-05-11T08:29:49.784Z"
