"title","url","matchedKeywords","targetFolderKey","targetFolder","page","pageUrl","matchedAt"
"[ GET ] $120k Copy Starter Kit - How a High School Dropout Built a $20,275/month Copywriting Career!","https://bestblackhatforum.com/Thread-GET-120k-Copy-Starter-Kit-How-a-High-School-Dropout-Built-a-20-275-month-Copywriting-Career&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[ GET ] $120k Copy Starter Kit - How a High School...","https://bestblackhatforum.com/Thread-GET-120k-Copy-Starter-Kit-How-a-High-School-Dropout-Built-a-20-275-month-Copywriting-Career?pid=4733101&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[ GET ] Justin Goff - The (Printed Email) That Get...","https://bestblackhatforum.com/Thread-GET-Justin-Goff-The-Printed-Email-That-Gets-Copywriting-Clients-To-Come-To-YOU?pid=4244336&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[ GET ] Justin Goff - The (Printed Email) That Gets Copywriting Clients To Come To YOU!","https://bestblackhatforum.com/Thread-GET-Justin-Goff-The-Printed-Email-That-Gets-Copywriting-Clients-To-Come-To-YOU&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[ GET ] P.S.P. French - Freelance Copywriting Mast...","https://bestblackhatforum.com/Thread-GET-P-S-P-French-Freelance-Copywriting-Master-Key-Unlock-a-sustainable-Copywriting-income?pid=4618926&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[ GET ] P.S.P. French - Freelance Copywriting Master Key - Unlock a sustainable Copywriting income!","https://bestblackhatforum.com/Thread-GET-P-S-P-French-Freelance-Copywriting-Master-Key-Unlock-a-sustainable-Copywriting-income&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[GET] [MVP] Peter Kell â€“ VSL Masterclass ($25,000.00)","https://bestblackhatforum.com/Thread-GET-MVP-Peter-Kell-%E2%80%93-VSL-Masterclass-25-000-00&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[GET] Deividas Tokaris â€“ Creative Media Buyer Cour...","https://bestblackhatforum.com/Thread-GET-Deividas-Tokaris-%E2%80%93-Creative-Media-Buyer-Course-97-00?pid=4923157&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[GET] Deividas Tokaris â€“ Creative Media Buyer Course ($97.00)","https://bestblackhatforum.com/Thread-GET-Deividas-Tokaris-%E2%80%93-Creative-Media-Buyer-Course-97-00&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
"[GET] Drop Dead Copy â€“ AI Copywriting Secrets (Vol...","https://bestblackhatforum.com/Thread-GET-Drop-Dead-Copy-%E2%80%93-AI-Copywriting-Secrets-Volume-1-197-00?pid=4829206&highlight=direct+response+copywriting","direct response copywriting","03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\03_Sales_Copywriting\direct_response_copywriting","1","https://bestblackhatforum.com/search.php?action=results&sid=1cbb8b32397c9047356e04ea4afc194b&sortby=&order=desc","2026-05-11T08:20:59.604Z"
