"Status","Name","Destination","Key"
"MOVED","51 Win Web Traffi Ide","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\04_Promo_Materials\promo_materials\51 Win Web Traffi Ide","02_JV_MANAGER\04_Promo_Materials\promo_materials"
"MOVED","60PhotoshopActionScripts","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\03_SALE_PAGE\08_Funnel_Pages\front_end_page\60PhotoshopActionScripts","03_SALE_PAGE\08_Funnel_Pages\front_end_page"
"MOVED","Abundance_Print_Big_Reset_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Abundance_Print_Big_Reset_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"KEEP_REVIEW","ACBI","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\ACBI","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"KEEP_REVIEW","acr","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\acr","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Airb_Cash_PRO_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Airb_Cash_PRO_Slender","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"MOVED","aNotioneer_Complete_Notion_Bundle","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\aNotioneer_Complete_Notion_Bundle","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
"KEEP_REVIEW","BreastCancerPrevention_PU","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\BreastCancerPrevention_PU","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Build_Directory_Products_with_No_code_and_AI_Research_as_a_Product_RaaP_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\Build_Directory_Products_with_No_code_and_AI_Research_as_a_Product_RaaP_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation"
"KEEP_REVIEW","Build_Once_Sell_Forever_SlenderMan","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Build_Once_Sell_Forever_SlenderMan","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","CanvaPlannerLinks","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\template_creation\CanvaPlannerLinks","01_BUILD_PRODUCT\02_Product_Creation\template_creation"
