"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Airb_Cash_PRO_Slender.zip",".zip","0.0318","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Airb_Cash_PRO_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\001_Airb_Cash_PRO_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\AI_Plus_Bundle_2.0_Slender.zip",".zip","0.0436","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\AI_Plus_Bundle_2.0_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\002_AI_Plus_Bundle_2.0_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\aNotioneer_Complete_Notion_Bundle.zip",".zip","0.1452","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\aNotioneer_Complete_Notion_Bundle","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\003_aNotioneer_Complete_Notion_Bundle.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Build_Directory_Products_with_No_code_and_AI_Research_as_a_Product_RaaP_SLENDERMAN_BBHF.zip",".zip","1.3397","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Build_Directory_Products_with_No_code_and_AI_Research_as_a_Product_RaaP_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\004_Build_Directory_Products_with_No_code_and_AI_Research_as_a_Product_RaaP_SLENDERM.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Build_Once_Sell_Forever_SlenderMan.zip",".zip","0.0034","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Build_Once_Sell_Forever_SlenderMan","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\005_Build_Once_Sell_Forever_SlenderMan.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Complete_Ideas_Bundle_SlenderMan.zip",".zip","2.3362","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Complete_Ideas_Bundle_SlenderMan","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\006_Complete_Ideas_Bundle_SlenderMan.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Digital_Ninja_Marketing_Secrets_SLENDERMAN_BBHF.zip",".zip","1.298","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Digital_Ninja_Marketing_Secrets_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\007_Digital_Ninja_Marketing_Secrets_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Fiverr_100k_Blueprint_Gumroad_SLENDERMAN_BBHF.zip",".zip","0.1107","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Fiverr_100k_Blueprint_Gumroad_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\008_Fiverr_100k_Blueprint_Gumroad_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Health_Hub_OS.zip",".zip","0.5098","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Health_Hub_OS","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\009_Health_Hub_OS.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\How_to_Make_6_Figures_Selling_SaaS_at_Home.zip",".zip","0.0169","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\How_to_Make_6_Figures_Selling_SaaS_at_Home","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\010_How_to_Make_6_Figures_Selling_SaaS_at_Home.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF.zip",".zip","0.0004","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\011_Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF.zip",".zip","2.6972","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\012_Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
