"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Beach+Vacation+Print+Planner+Bundle.zip",".zip","0.2007","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Beach+Vacation+Print+Planner+Bundle","failed","False","2","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\001_Beach_Vacation_Print_Planner_Bundle.log","7z exit code 2; archive kept"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\BreastCancerPrevention_PU.zip",".zip","0.0087","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\BreastCancerPrevention_PU","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\002_BreastCancerPrevention_PU.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Bypassing+AI+Detection-plr-363523.zip",".zip","0.0007","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Bypassing+AI+Detection-plr-363523","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\003_Bypassing_AI_Detection-plr-363523.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CanvaPlannerLinks.zip",".zip","0.0074","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CanvaPlannerLinks","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\004_CanvaPlannerLinks.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CF-MBS-091818.zip",".zip","0.1658","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CF-MBS-091818","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\005_CF-MBS-091818.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CleanEatingArticles.zip",".zip","0.0009","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CleanEatingArticles","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\006_CleanEatingArticles.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Co-Registration-PLR.zip",".zip","0.0356","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Co-Registration-PLR","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\007_Co-Registration-PLR.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ConfidenceCheck.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ConfidenceCheck","failed","False","2","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\008_ConfidenceCheck.log","7z exit code 2; archive kept"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CopingWithStress.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\CopingWithStress","failed","False","2","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\009_CopingWithStress.log","7z exit code 2; archive kept"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Course engage.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Course engage","failed","False","2","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\010_Course_engage.log","7z exit code 2; archive kept"
