"pass","archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Airb_Cash_PRO_Slender\AirbnbCash-SP.zip",".zip","0.0005","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Airb_Cash_PRO_Slender\AirbnbCash-SP","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0001_AirbnbCash-SP.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF\HTML.zip",".zip","0.3288","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF\HTML","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0002_HTML.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF\PDF.zip",".zip","1.9969","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF\PDF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0003_PDF.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\AgencyHQ_Template\HTML.zip",".zip","0.0188","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\AgencyHQ_Template\HTML","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0004_HTML.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\AgencyHQ_Template\PDF.zip",".zip","0.3364","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\AgencyHQ_Template\PDF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0005_PDF.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\Notion_For_Agencies_Template\HTML.zip",".zip","0.0051","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\Notion_For_Agencies_Template\HTML","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0006_HTML.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\Notion_For_Agencies_Template\PDF.zip",".zip","0.0619","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF\Notion_For_Agencies_Template\PDF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0007_PDF.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF\Emails Reviewed.zip",".zip","0.0028","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF\Emails Reviewed","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0008_Emails_Reviewed.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF\Mapping of 12 Leading SaaS Businesses's Email Programs.zip",".zip","0.025","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF\Mapping of 12 Leading SaaS Businesses's Email Programs","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0009_Mapping_of_12_Leading_SaaS_Businesses_s_Email_Programs.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF\Notion SOPs\HTML.zip",".zip","0.0015","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF\Notion SOPs\HTML","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0010_HTML.log","extracted successfully; archive deleted"
